English,Korean,synonym
assure,"확신시키다 ; 보장하다","convince, persuade, satisfy ; guarantee"
legitimate,정당한,"just, justified, right, reasonable"
strenuous,"격렬한, 힘든","intense, arduous, laborious"
invoke,"빌다, 기원하다 ; 적용하다","call upon, pray to, conjure ; implement"
astonish,놀라게하다,astounding
vanquish,"이기다, 정복하다","subdue, defeat, conquer"
ruling,"우세한, 주요한","prevailing, dominant, prominent, supreme"
absurdity,"불합리, 부조리, 모순된 말",
ascend,"올라가다, 상승하다",
ascendant,"상승하는, 우세한",
irrevocably,돌이킬 수 없게,"permanently, irreversibly, irretrievably"
contemptible,"경멸할만한, 비열한","mean, despicable"
crouch,"웅크리다, 숙이다, 구부리다",
preoccupation,"몰두, 집착, 선입견, 선취",
occupation,"직업",
parity,"동등함, 같음",
