WORD,Meaning
Period,"인정 이라는 뉘앙스(여자들끼리 씀, 남자가 쓰면 게이)"
Lowkey,"쫌, 약간"
Comfy,편안한 (comfortable 줄임)
IKR,"진짜, 내말이"
Howdy,"안녕 (How do you do 줄임말, 나이든 사람들 쓰는 말임)"
boutta,곧 ~하려고 한다 (about to 줄임)
Goon,바보
cook,"능숙하게 만들어내다, 상대를 압도하다"
Fs,"(For sure)진짜로, 당연하지, 물론이지"
Otw,(On the way) 가는 중이야
Cook,"압도하다, 완전히 제끼다"
Cap,거짓말
No cap,진짜로
"Mark, set, go","출발선 맞추고, 준비, 시작 (구호)"
Wasian,백인 + 아시아인 혼혈
Blasian,흑인 + 아시아인 혼혈
Fomo,잊을까 두려움
Jomo,일부러 빠지고 즐거움
All of that sorta stuff,그런 것들
carbs,탄수화물
Freaking,강조용 부사
Be freaking out,"멘붕이다, 놀라다"
cardio,유산소 운동
plz hold on a sec,잠깐만
Pissed,"화난, 성난"
1st of,"우선, 먼저"
No warries,"괜찮아요, 신경쓰지 마세요, 문제없어요, 물론이죠, 천만에요"
no problem,문제 없어 (도움 요청을 수락할 때)
Run into,우연히 만나다 / 맞닥뜨리다
what a pity,"이런, 아까워라, 안타깝다"
Run into,우연히 만나다
Tbh,(To be honest) 솔직히 말해서
iffy,"애매한, 불확실한"
Appreciate it,"고마워, 감사합니다"
Just so you know,참고로 말하자면 (정보 전달, 참고용 알림)
Tell me about it,내말이
tops,길어야 ~
make it,행사나 이벤트에 참여하다
Heads up,"참고로 말해두자면, 주의해"
Not my cup of tea,딱히 내 취향은 아니야
LMAO,개웃겨 (Laughing My Ass Off)
Head over,"이동하다, 가다"
wasted,완전 만취
screw up,"망치다, 실수하다"
clutch,개쩌는
by the way,"아 맞다, 참고로"
No worries,"천만에요, 괜찮아"
no problem,"천만에요, 괜찮아"
By the way,"아, 참 / 그런데"
Urs,yours
Guess what,"뭔지 맞춰봐, 있잖아"
Neck and neck,막상막하
