WORD,Meaning
abandon oneself to,"~에 빠지다, 탐닉하다, 내맡기다"
abound in [with],"~이 풍부하다, 많다"
be about to,막 ~하려고 하다
above all,"특히, 무엇보다도, 먼저"
be absorbed in,"~에 열중하다, ~에 몰두하다"
abstain from,"~을 삼가다, 끊다"
by accident,"우연히, 뜻밖에"
be accompanied by [with],"~이 따르다, ~이 이어서 일어나다"
be in accord with,~와 일치하다
of one’s own accord,자발적으로
in accordance with,"~와 일치하여, ~에 따라서"
according as,"~에 준하여, ~함에 따라서"
according to,"~에 의하면, ~에 따라"
account for,"~을 설명하다, 명백히 하다"
make much account of,~을 중요시하다
make no account of,~을 무시하다
on account of,"~때문에, ~까닭으로"
take ~ into account,"~을 참작하다, 고려하다"
turn to account,이용하다
accuse ~ of,"~을 비난하다, 고소하다"
accustom oneself to,~에 익숙해지다
be accustomed to,~에 익숙하다
be acquainted with,"~에 정통하다, ~와 아는 사이다"
act on [upon],"~에 따르다, 작용하다"
adapt oneself to,"~에 적응하다, 순응하다"
add to,~을 늘리다
add up,~을 합계하다
in addition to,"~에 더하여, ~외에 또"
address oneself to,"~에게 말을 걸다, ~에 착수하다"
adjust oneself to,~에 순응하다
in advance (of),"~보다 나아가서, ~보다 앞서"
take advantage of,이용하다
to advantage,유리하게
"a piece [word, bit] of advice",조언 한마디
agree to,"~에 동의하다, 승낙하다"
agree with,"~에 일치하다, 찬성하다"
ahead of,"~에 앞서, ~보다 앞서"
with aid of,~의 도움을 빌려
take aim at,"~을 목표로 삼다, 겨냥하다"
be alarmed at,~에 놀라다
in alarm,놀라서
all along,"처음부터 죽, 내내"
all at once,"갑자기, 돌연"
all over,도처에
all sorts of,여러 종류의
all the way back,멀리 거슬러 올라가
all through,"~동안 쭉, ~동안 내내"
allow for,~을 고려(참작)하다
allow of,"~의 여지가 있다, 허용하다"
make allowance [for],"~을 참작하다, 공제하다"
along with,"~와 함께, ~와 같이"
be amazed at,~에 깜짝 놀라다
among other things,"특히, 무엇보다"
among the rest,"그중에서도, 특히"
amount to,(총계가) ~에 달하다
"be amused at [by, with]",~을 즐기다
and so forth,"따위, 등등, 기타"
and the like,기타 등등
and yet,"그런데도, 그럼에도 불구하고"
one after another,"차례로, 하나씩, 속속, 뒤이어"
one another,서로
answer back,말대꾸하다
answer for,"~의 책임을 지다, ~대신 대답하다"
answer to,"~에 부합하다, 회답하다"
be anxious about,~을 걱정하다
be anxious for,~을 갈망하는
in any case,"어떤 경우에도, 어떻든 간에"
anything but,~외에는 무엇이든
anything of,"다소라도, 조금은"
apart from,"~외에는, ~을 제외하고, ~외에도"
take apart,"따로 떼다, 분해하다"
apologize to ~ for …,…에 대하여 ~에게 사과하다
to [in] all appearance(s),"아무리 보아도, 어느 모로 보나"
with an applause,박수 갈채를 받다
apply for,"~을 지원하다, 신청하다"
apply oneself to,"~에 몰두하다, 전념하다"
approve of,"~을 시인하다, ~에 찬성하다"
be apt to,"~하기 쉽다, ~하는 경향이 있다"
argue with (someone) about,~에 대하여 논의하다
with open arms,진심으로
arrange for,"약속을 정하다, 준비하다"
as a matter of course,"당연히, 물론"
as a matter of fact,"사실은, 사실상"
as a rule,"일반적으로, 대체로"
as far as,"(~에 관한)한, ~까지"
as for,"~에 관해서는, ~로서는, ~만은"
as if,마치 ~인 것처럼
as it is,사실 있는 그대로
as it were,말하자면
as long as,"~하는 동안에는, ~하는 한에는"
as often as not,"때때로, 종종"
as regards,"~에 대하여, 관하여"
as soon as,"~하자마자, 곧"
as though,마치 ~인 것처럼
as to,"~에 관하여, ~에 대해서"
as usual,"평소와 같이, 여느 때처럼"
as well as,"~와 마찬가지로, 뿐만 아니라"
as yet,"아직은, 지금까지는"
ascribe ~ to …,~을 … 탓으로 돌리다
be ashamed of,~을 부끄러워하다
aside from,"~은 제쳐놓고, ~은 별개로 하고"
ask after,"~의 안부를 묻다, 문안하다"
ask for,"~을 요구하다, 청구하다"
give an assurance,보증하다
have full assurance of [that],~에 관하여 전적으로 확신하고 있다
assure oneself of,~을 확인하다
be assured of,~을 확신하다
at all,"조금도, 적어도, 도대체"
at last,드디어
at once,"한꺼번에, 곧, 당장"
at one time or the other,언젠가 한때
at short notice,"즉각, 준비 없이"
at that moment,그 순간에
at the same time,동시에
at this moment,이 순간에
attach oneself to,"~에 애착을 느끼다, 가입하다"
make an attempt at [to],~하려고 시도하다
attend on [upon],"~에게 시중들다, 간호하다"
attend to,"~에 주의를 기울이다, 보살피다"
draw [attract] one’s attention to,"주의를 끌다, 눈에 띄다"
pay [give] attention to,~에 주의하다
avail oneself of,"~을 이용하다, ~의 기회를 타다"
be of avail,"도움이 되다, 쓸모가 있다"
be available for,"~에 도움이 되다, 쓸모가 있다"
at the back of,"~의 뒤에, 후원자로서, ~을 쫓아"
back and forth,"앞뒤로, 이리저리"
to the back,"철저하게, 뼛속까지"
turn one’s back on,"~에게 등을 돌리다, 저버리다"
be bad at,~이 서투르다
go bad,"썩다, 상하다"
cast [take] a ballot,투표하다
elect by ballot,투표로 뽑다
into [in] the bargain,"더구나, 게다가"
change one’s battery,수단을 바꾸다
bear in mind,"기억하고 있다, 명심하다"
bear on [upon],"~에 무게가 쏠리다, 영향이 있다"
bear oneself,"처신하다, 거동하다"
bear out,"~을 지지하다, 지원하다, 지탱하다"
bear the burden of,"~을 떠맡다, 곤란에 견디다"
bear witness to,"증언하다, 증명하다"
before long,"머지 않아, 곧"
long before,훨씬 전에
be beforehand with,"~에 앞서다, 미리 대비하다"
beg for,"~을 빌다, 바라다"
beg one’s pardon,"사과하다, 용서를 빌다"
in (one’s) behalf of,~을 위하여
on (one’s) behalf of,"~을 대신하여, ~을 위하여"
behind the times,시대에 뒤떨어져
behind time,"시간에 늦게, 지각하여"
bell the cat,자진하여 어려운 일에 나서다
bear [carry away] the bell,"승리를 얻다, 상품을 타다"
for the benefit of,"~을 위하여, ~의 이익을 위하여"
beside oneself with,"정신을 잃고, 실성하여"
beside the mark,과녁을 벗어나서
at (the) best,"기껏해야, 고작, 잘 해야"
best of all,"무엇보다도, 첫째"
at one’s best,"한창 때에, 전성기에"
better off,"형편이 더 좋은, 더욱 부유한"
all the better,"오히려, 더욱 좋게, 그만큼 더욱"
between you and me,우리끼리 아는 이야기로만
beyond description,형언할 수 없을 정도로
go beyond oneself,자제력을 잃다
bind oneself to,~할 것을 약속하다
by birth,"타고난, 태생은"
bit by bit,"조금씩, 점차로"
a bit of,"소량의, 한 조각의"
be to blame,"책임이 있다, ~가 나쁘다"
be blessed with,"의 혜택을 받고 있다, ~을 누리다"
bless oneself,이마와 가슴에 십자가를 긋다
bless one’s stars,행운을 감사하다
be blind to,"~을 보지 못하다, ~을 모르다"
in full bloom,"만발하여, 꽃이 피어"
blow off,"불어 날려 버리다, 내뿜다"
blow up,"폭파하다, 화내다"
at one blow,"일격에, 단번에"
on board,"승선하여, 승차하여"
born of,"~에서 태어난, ~출신의"
born to,"~으로 태어난, ~을 타고난"
bound to,~할 의무가 있다
at a bound,"단 한번의 도약으로, 일약"
break away,"도망치다, 이탈하다"
break down,"파괴하다, 부서지다, 분해하다"
break in,"길들이다, 훈육하다"
break into,"~에 침입하다, 별안간 ~하기 시작하다"
break loose,"탈출하다, 도망치다"
break out,"일어나다, 발생하다"
break through,나타나다
break up,"산회하다, 분쇄하다, 헤어지다"
break up,"~와 절교하다, ~을 그만두다"
out of breath,숨이 차서
hold a brief for,"~을 변호하다, 지지하다"
in brief,"요컨대, 요약하면"
bring out,"일으키다, 야기하다, 해내다"
bring down,"내리다, 꺾다, 멸망시키다"
bring forth,"열매를 맺다, 생기다, 발표하다"
bring in,"가지고 들어오다, 소개하다"
bring out,"공표하다, 출판하다, 생각해 내다"
bring to life,소생시키다
bring to light,"공표하다, 밝히다"
bring to mind,~을 생각나게 하다
bring to pass,생기게 하다
